id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q6390855,Kenneth Younger,1955-12-14,1957-05-13,,Q333745,,
Q333745,Patrick Gordon Walker,1957-05-13,1962-03-12,Q6390855,Q334073,,
Q334073,"George Brown, Baron George-Brown",1962-03-12,1963-02-15,Q333745,Q333387,,
Q333387,"Frank Soskice, Baron Stow Hill",1963-02-15,1964-10-15,Q334073,Q5341978,,
Q5341978,"Edward Boyle, Baron Boyle of Handsworth",1964-10-15,1965-08-04,Q333387,Q334282,,
Q334282,Peter Thorneycroft,1965-08-04,1966-04-13,Q5341978,Q175366,,
Q175366,"Quintin Hogg, Baron Hailsham of St Marylebone",1966-04-13,1970-06-18,Q334282,Q9576,,
Q9576,James Callaghan,1970-06-18,1971-10-19,Q175366,Q333250,,
Q333250,Shirley Williams,1971-10-19,1973-11-25,Q9576,Q323488,,
Q323488,Roy Jenkins,1973-11-25,1974-03-04,Q333250,Q333412,,
Q333412,"Jim Prior, Baron Prior",1974-03-11,1974-06-13,Q323488,Q333694,,
Q333694,Keith Joseph,1974-06-13,1975-02-11,Q333412,Q333362,,
Q333362,"Ian Gilmour, Baron Gilmour of Craigmillar",1975-02-18,1976-01-15,Q333694,Q333963,,
Q333963,"William Whitelaw, 1st Viscount Whitelaw",1976-04-11,1979-05-04,Q333362,Q336534,,
Q336534,Merlyn Rees,1979-05-04,1980-11-04,Q333963,Q333692,,
Q333692,Roy Hattersley,1980-11-04,1983-10-31,Q336534,Q750345,,
Q750345,Gerald Kaufman,1983-10-31,1987-07-13,Q333692,Q333692,,
Q333692,Roy Hattersley,1987-07-13,1992-07-24,Q750345,Q9545,,
Q9545,Tony Blair,1992-07-24,1994-10-20,Q333692,Q311278,,
Q311278,Jack Straw,1994-10-20,1997-05-02,Q9545,Q325381,,
Q325381,Michael Howard,1997-05-02,1997-06-11,Q311278,Q333410,,
Q333410,"Brian Mawhinney, Baron Mawhinney",1997-06-11,1998-06-02,Q325381,Q332919,,
Q332919,"Norman Fowler, Baron Fowler",1998-06-02,1999-06-15,Q333410,Q298846,,
Q298846,Ann Widdecombe,1999-06-15,2001-09-18,Q332919,Q333480,,
Q333480,Oliver Letwin,2001-09-18,2003-11-06,Q298846,Q300023,,
Q300023,David Davis (British politician),2003-11-06,2008-06-12,Q333480,Q332994,,
Q332994,Dominic Grieve,2008-06-12,2009-01-19,Q300023,Q337453,,
Q337453,Chris Grayling,2009-01-19,2010-05-11,Q332994,Q332336,,
Q332336,Alan Johnson,2010-05-11,2010-10-08,Q337453,Q260464,,
Q260464,Ed Balls,2010-10-08,2011-01-20,Q332336,Q291057,,
Q291057,Yvette Cooper,2011-01-20,2015-09-12,Q260464,Q269909,,
Q269909,Andy Burnham,2015-09-13,2016-09-28,Q291057,Q153454,,
Q153454,Diane Abbott,2016-10-06,2020-04-04,Q269909,Q20648913,,
Q20648913,Nick Thomas-Symonds,2020-04-05,,Q153454,,,
